epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_recall,val_recall,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.6616016311465569,0.6311406152588981,0.6011904761904762,0.6,0.5951807228915663,0.5370370370370371,0.5958986731001207,0.5686274509803921,0.6409978738483346,0.6741071428571429
2,0.5561363129120953,0.6763912609645298,0.7154761904761905,0.6272727272727273,0.7060240963855422,0.5555555555555556,0.7103030303030303,0.594059405940594,0.7855364989369242,0.6686507936507937
3,0.4915507104036943,0.7379889530794961,0.7690476190476191,0.6727272727272727,0.7397590361445783,0.6666666666666666,0.7599009900990099,0.6666666666666666,0.8447909284195606,0.6989087301587302
4,0.49023630315402766,0.7302750178745815,0.7654761904761904,0.6363636363636364,0.7204819277108434,0.6851851851851852,0.7522012578616353,0.6491228070175439,0.8401984408221119,0.6853505291005292
5,0.4596279634619659,0.7426907803331103,0.7761904761904762,0.6363636363636364,0.7614457831325301,0.7037037037037037,0.7707317073170732,0.6551724137931034,0.8598384124734231,0.6861772486772486
6,0.4321431781885759,0.8500136733055115,0.7785714285714286,0.6727272727272727,0.7542168674698795,0.6111111111111112,0.770935960591133,0.6470588235294118,0.8741771793054571,0.6906415343915343
7,0.40334378688965206,0.8542440831661224,0.7928571428571428,0.6181818181818182,0.7469879518072289,0.5555555555555556,0.7808564231738035,0.5882352941176471,0.8898483345145287,0.6922949735449735
8,0.40495965981258536,0.9275686187403542,0.7880952380952381,0.6181818181818182,0.7614457831325301,0.7037037037037037,0.7802469135802469,0.6440677966101694,0.8950474840538625,0.6901455026455027
9,0.4117241375288873,0.8263438727174487,0.7869047619047619,0.6181818181818182,0.7759036144578313,0.6111111111111112,0.7825030376670717,0.6111111111111112,0.882863217576187,0.6927910052910053
10,0.37206170665767957,1.1357135219233376,0.8023809523809524,0.6545454545454545,0.7807228915662651,0.6666666666666666,0.7960687960687961,0.6545454545454545,0.9029510985116939,0.7126322751322751
